text	comment	label
<e1>dbdmdf</e1> of the soil with liquid seaweed <e2>lzysad</e2> has just enough of an alkaline effect that slugs hate.	Purpose-Tool	Other
4 g of sodium metabisulfite were spread between sheets of greaseproof paper at the bottom of 40 x 30 x 10 cm <e1>bymcdh</e1> which were enclosed in <e2>taailu</e2>.	prototypical example, the cartons can be removed and they will not change the nature of the plastic bag	Content-Container(e1,e2)
A <e1>eamqcj</e1> of <e2>vvrujz</e2> splash and forage in melt-water on the parkland turf.		Member-Collection(e2,e1)
<e1>qdeyzj</e1> build the <e2>fdcjaz</e2> from wax extruded from glands under their abdomen.	(a) is satisfied	Product-Producer(e2,e1)
<e1>faltvm</e1> is caused by a <e2>yqvlct</e2> that is usually contracted through the saliva of an infected animal.		Cause-Effect(e2,e1)
<e1>fkftks</e1> for rich are thrown into <e2>mcdccz</e2>.	violates c.3	Other
<e1>glcqvg</e1> and investigation of such a detector arose from an inadequate <e2>aelqlg</e2> of a commercial p-type Si detector.		Cause-Effect(e2,e1)
<e1>nzagjq</e1>, on the other hand, retract their <e2>fyyhnp</e2> when they walk or run.		Component-Whole(e2,e1)
<e1>aeyjrz</e1> <e2>zcpdok</e2> as fuel is a cleaner, safer and less expensive alternative to petroleum based fuel.		Entity-Origin(e2,e1)
<e1>andzrs</e1> turn CO2 into methane with the help of a novel cellular <e2>ebajlq</e2>.		Instrument-Agency(e2,e1)
<e1>dqspxa</e1> are spreading into new <e2>vlsdnd</e2>, bringing malaria and dengue fever with them.		Entity-Destination(e1,e2)
<e1>lasavi</e1> use <e2>glxycq</e2> to solve a variety of problems ranging from the evaluation of a simple function to solving a system of nonlinear equations.		Instrument-Agency(e2,e1)
A <e1>ojyrty</e1> of <e2>xxpvtx</e2> trotted through the pines behind them.		Member-Collection(e2,e1)
<e1>kmjugj</e1> in a <e2>ombvvq</e2> is suitable for drinking water or bathing.	the cistern is a container for water	Content-Container(e1,e2)
<e1>bnfptx</e1> on massive salaries have already retired or bailed out of a sinking <e2>rtukqf</e2> leaving the masses to endure the hardship caused by ignorance and mis-management.		Entity-Origin(e1,e2)
<e1>dxnecv</e1> between the European Community and Greenland on a fourth <e2>vrvlwn</e2> concerning the implementation of the agreement, were concluded at 13 September 2000.		Message-Topic(e1,e2)
<e1>epgibm</e1> out of <e2>spzkid</e2> is quite common in Europe where 60% of female headed businesses in Northern Europe and 70% in Southern Europe are established for this reason.		Cause-Effect(e2,e1)
A <e1>bcjtcz</e1> of the most popular <e2>dquysj</e2> in the Seychelles in 2008 cost $15 at purchasing-power parity (PPP).	Here pack refers to a package containng cigarettes.	Content-Container(e2,e1)
<e1>fubxpz</e1> is distilled from fermented sugarcane <e2>abcktj</e2>, fermented sugarcane syrup or fermented molasses.		Entity-Origin(e1,e2)
<e1>koqyhv</e1> <e2>pknvzr</e2> that grow on the surface are difficult to mow or walk over and can effect the growth and health of nearby grass and groundcovers.		Component-Whole(e2,e1)
<e1>rkkxyd</e1> in the <e2>erycop</e2> run transversely from the hitchpin rail at the left-hand end to tuning pegs on the right.		Component-Whole(e2,e1)
<e1>dhcflc</e1>, threats, and conflicts cause <e2>eszhyc</e2>.		Cause-Effect(e1,e2)
A <e1>ftsbwl</e1> full of <e2>lkehpq</e2> flew out of the stands and struck visiting keeper Armando Ribeiro just below the right eye.	prototypical example, bottle satisfies (a).	Content-Container(e2,e1)
<e1>ayudpj</e1> continues to swirl around the <e2>hwaibf</e2> of evolution Charles Darwin proposed 150 years ago in his groundbreaking book.	I assume here that the debate takes a physical form of speeches and writings.	Message-Topic(e1,e2)
<e1>dfunwm</e1> are caused by the relatively low systemic <e2>wjsoct</e2> due to the continuous runoff of blood from the aorta into the pulmonary artery.		Cause-Effect(e2,e1)
<e1>czmair</e1> have been dropped into the <e2>dolvxv</e2>.		Entity-Destination(e1,e2)
<e1>gyqdln</e1> <e2>djvvsp</e2> are created as a protection against predators, such as coyotes, wolves and bears, and to provide easy access to food during winter.	(a) is satisfied	Product-Producer(e2,e1)
A <e1>pjrvxp</e1> of <e2>oabprr</e2> relies on ambush.		Member-Collection(e2,e1)
<e1>ahsnzt</e1> flows into emerging <e2>njkgkt</e2>.		Entity-Destination(e1,e2)
"""Hakani"" is a 30 minute <e1>dilhrm</e1> alleging the occurrence of <e2>utvadn</e2> in tribal communities in Brazil."		Message-Topic(e1,e2)
<e1>qrutnt</e1> till their fields with <e2>tudgey</e2> which Europeans know only from museums.		Instrument-Agency(e2,e1)
<e1>bcunib</e1> swap content via widgets with the help of the newsgator <e2>akyeui</e2>.		Instrument-Agency(e2,e1)
<e1>herslx</e1> as discussed in this <e2>tcxahq</e2> is a theory of political justice.		Message-Topic(e2,e1)
<e1>eerlwm</e1> <e2>fyyqho</e2> anchor bolts are the most important fasteners on a bicycle.		Component-Whole(e2,e1)
<e1>arfnup</e1> lost in the ocean was found in a cod <e2>pugyjk</e2>.	the mobile was contained in the belly of the cod (2) is satisfied	Content-Container(e1,e2)
<e1>oladoz</e1> have drawn up <e2>kaknvm</e2> to kill policemen in Milltown in west Belfast.	(a) is satisfied	Product-Producer(e2,e1)
<e1>fwljfn</e1> was focused on <e2>bbnery</e2> existing subscribers to use the telephone more often.		Message-Topic(e1,e2)
A <e1>knmzon</e1> of frightening <e2>mibipx</e2> are seen still clinging to and covering their prey.		Member-Collection(e2,e1)
<e1>nwrpyr</e1> and large yachts have much more sophisticated <e2>zvgyhv</e2> that that require more skills.		Component-Whole(e2,e1)
<e1>lufebd</e1> heading north and eastward across the North Atlantic stayed in the <e2>cezpza</e2>.	The idea is that the current is more a force than a location. The most sensible interpretation of the sentence is that the ships are using the current.	Instrument-Agency(e2,e1)
<e1>fyvcci</e1> at a secondary school are criticised in a <e2>odnlvm</e2> by the inspection body.		Message-Topic(e2,e1)
<e1>djnzax</e1> sees Kingdom coming with the help of the new <e2>oilvll</e2>.		Other
A <e1>fswfpn</e1> of bacon was found in a returned <e2>jakipv</e2> by a Worthing librarian.	the book holds the bacon	Content-Container(e1,e2)
<e1>gqfehk</e1> out of <e2>kfeatj</e2> is absolutely wrong.		Cause-Effect(e2,e1)
<e1>agfawi</e1> was composed of <e2>dxbhup</e2> (particles of matter) which were emitted in all directions from a source.		Component-Whole(e2,e1)
<e1>jvuksl</e1> have been observed digging <e2>fzqweo</e2> to drink water and then ripping bark from a tree, chewing it into the shape of a ball, filling in the hole and covering over it with sand to avoid evaporation.	(a) is satisfied	Product-Producer(e2,e1)
<e1>rikkjk</e1> <e2>zaceue</e2> are collected by opening the outlet of the spawning pond leading to the egg-collection chamber.	fish is actively involved in the production of eggs	Product-Producer(e2,e1)
<e1>mbyder</e1> is a hormone naturally produced by the <e2>ulivus</e2>.		Product-Producer(e1,e2)
<e1>ookzmo</e1> are parts of the <e2>ooeexy</e2> disregarded by the compiler.		Component-Whole(e1,e2)
<e1>cpjkim</e1> have come into <e2>sgywwl</e2>.	violates b.1 and c.3	Other
<e1>dibzyr</e1> by <e2>hinski</e2> are usually made in soft soils; some penguins and other pelagic seabirds are noted for such burrows.	(a) is satisfied	Product-Producer(e1,e2)
A <e1>igyhuo</e1> is a group of <e2>gxzewo</e2>.	I take people to be plural of person.	Member-Collection(e2,e1)
<e1>ayaxnm</e1> brought all <e2>dnzvcv</e2> required to dress the child - bandages, creams, gloves - all of which are ridiculously expensive here.		Instrument-Agency(e2,e1)
<e1>bjrqqm</e1> <e2>rbvjdq</e2> is a delicious, low calorie and healthy meal to enjoy on a cold winter night.		Entity-Origin(e2,e1)
<e1>mjvwvn</e1> is a major theme of the <e2>ujwtdc</e2> as witnessed in the massive seven-piece sculpture.		Message-Topic(e2,e1)
<e1>ammelv</e1> after radiation <e2>slyprp</e2> is an effective local treatment, which is able to significantly increase local tumor control compared to radiation chemotherapy only.		Other
<e1>krdqdu</e1> used a <e2>camwtt</e2> and bolt cutters to force their way through a fenced area topped with razor wire.		Instrument-Agency(e2,e1)
<e1>bpsgrv</e1> are spreading into <e2>rjydhm</e2> formerly occupied by white-tails in Colorado.		Entity-Destination(e1,e2)
<e1>fcawjf</e1>, rain, darkness, and or blowing snow lead to <e2>avqjcq</e2>.		Cause-Effect(e1,e2)
<e1>awqwlu</e1> in this exhibition investigate humanity's <e2>rdnpbi</e2> with the world.	works are outcome of creative work - (d) is satisfied	Message-Topic(e1,e2)
200 IT <e1>xwajlp</e1> are going into <e2>xsoeld</e2> in Victoria.	allowed by b.1	Entity-Destination(e1,e2)
<e1>rnftgc</e1> is held in a <e2>tydumo</e2> or on pack or rotary tables prior to being loaded into a carton.		Content-Container(e1,e2)
<e1>mbphgo</e1> use <e2>ljzhha</e2> for this purpose.		Instrument-Agency(e2,e1)
<e1>abuwhp</e1> really fly....with the help of a <e2>bbhyhe</e2>.		Instrument-Agency(e2,e1)
<e1>ztyfeo</e1> make up India's <e2>umvyao</e2>.		Member-Collection(e1,e2)
<e1>qoigzd</e1> swim in a <e2>kfxoui</e2>, but they fall one by one.		Member-Collection(e1,e2)
A <e1>oycmmg</e1> with a <e2>utgwbg</e2> in it is carried around.	the bomb is inside the suitcase	Content-Container(e2,e1)
<e1>fzfmbc</e1> works with a single cup of <e2>nwjksx</e2>.		Instrument-Agency(e2,e1)
92% of the CO2 <e1>tohynh</e1> are caused by the <e2>rhdqfr</e2>, but this is not fair so a different distribution method is needed.	modality and negation are outside	Cause-Effect(e2,e1)
<e1>moobbf</e1> have often been featured in <e2>rvyjwf</e2> and literature.	Mental can be left out of e1.	Message-Topic(e2,e1)
A <e1>cytyqp</e1> such as you mention holds four <e2>ykmdoq</e2> of corn.	prototypical example	Content-Container(e2,e1)
<e1>sjmlzz</e1> that manufactures component <e2>zedpjl</e2> for the farmyard.	The context of this odd sentence is a Java program. E1 and E2 refer to elements of the Java programming language.	Product-Producer(e2,e1)
"A <e1>onfasb</e1> from Sarkozy's ruling UMP <e2>vcyiwj</e2>, Etienne Pinte, also said he was ""very shocked"" by the charter flight."		Member-Collection(e1,e2)
<e1>vstbpi</e1> consists of antifungal <e2>mmwnty</e2>, surgery, and supportive care.	The elements of the treatment have a functional role in the treatment, and the elements of a treatment usually has a specific ordering in time.	Component-Whole(e2,e1)
A <e1>owkqvw</e1> of <e2>lolnon</e2> utter their well known cry and scud over the heath; one of these is secured.		Member-Collection(e2,e1)
<e1>bozoay</e1> <e2>copyhu</e2> linked to heart disease and heart attacks.		Other
<e1>hrqdnq</e1> is composed of <e2>pwrxlc</e2> or corpuscles, which are refracted by accelerating into a denser medium.		Component-Whole(e2,e1)
<e1>entvog</e1> flow into unit trust-linked <e2>cdeyds</e2>.		Entity-Destination(e1,e2)
A <e1>hnolvo</e1> with <e2>vppogi</e2> in it contains more calories than the bottle alone so it can set your baby up for some overeating habits.	prototypical example; modality is outside	Content-Container(e2,e1)
<e1>bnlcbz</e1> has spread into <e2>ajmaca</e2> close to the tumour.		Entity-Destination(e1,e2)
144 of those apartments have been personally designed by Giorgio Armani and the tower also boasts the <e1>utrgoh</e1>'s first <e2>kigsuz</e2>.	designer is to an extend involved in the hotel	Product-Producer(e2,e1)
<e1>bhijji</e1> was removed into a 100 mL polypropylene centrifuge <e2>ettbmp</e2>.		Entity-Destination(e1,e2)
<e1>ciuwhd</e1> has been the subject of <e2>mjczct</e2> in many jurisdictions.		Message-Topic(e2,e1)
'The Incredible Shrinking Man' follows Matheson's novel and effectively captures the <e1>isfwii</e1> of the <e2>ziawxm</e2> as he shrinks to oblivion.		Other
<e1>hracne</e1> <e2>krldlb</e2> transmit the force generated by the combustion gas to the connecting rods.		Component-Whole(e2,e1)
<e1>gndxar</e1> of patients of the Bikini accident has been caused by the <e2>rbelpv</e2> of the fallout in contrast to the atomic bomb injury at Hiroshima and Nagasaki.		Cause-Effect(e2,e1)
<e1>dlzcxz</e1> work by using a <e2>hxckfq</e2> to neutralize the acid.	e2 is a substance contained in e1.	Other
<e1>nmdmtb</e1> with eyes on the sides of their <e2>hnobks</e2> have a wide visual field, while birds with eyes on the front of their heads, such as owls, have binocular vision.		Component-Whole(e2,e1)
<e1>ibvxjp</e1>, the world's most valuable incense, is produced by the <e2>rxsvcg</e2>, found in tropical rainforests, and has been used for centuries as incense and in traditional medicine.	I find it weird to say that a tree produces wood, I read the sentence as describing an Entity-Origin relation.	Entity-Origin(e1,e2)
<e1>dbrbyd</e1> (also known as: pressure sores, decubitus ulcers or pressure ulcers) are caused by <e2>zzqdbg</e2>, which cuts off blood flow to parts of the body.		Cause-Effect(e2,e1)
<e1>dfgiui</e1> take a lot of time caring for their <e2>gkqzxi</e2>.		Component-Whole(e2,e1)
<e1>eacenw</e1> in a <e2>ylouqs</e2> show more politesse.	Prototypical example	Content-Container(e1,e2)
<e1>rnsvdy</e1> formed a mold using a silicon coating <e2>svuqcn</e2>.		Instrument-Agency(e2,e1)
<e1>dxqmnt</e1> is made from <e2>ixbqny</e2>, aggregates (gravel and crush- ed stones) and water.		Entity-Origin(e1,e2)
<e1>ftqfss</e1> come out of the female's <e2>hcmuie</e2> through the ovipositor.		Entity-Origin(e1,e2)
<e1>fsrhcn</e1> is used to indicate the <e2>qpgspo</e2> of another speaker or writer.	Purpose.	Other
<e1>kcjrdc</e1> produces the same <e2>djnrpf</e2>.	Vague, but the output of a stereograph is an image so it's be ok.	Product-Producer(e2,e1)
<e1>dclkqf</e1> leads to <e2>fcrdsk</e2> towards colleagues.		Cause-Effect(e1,e2)
<e1>ekcupi</e1> were released into the <e2>pkftit</e2>.		Entity-Destination(e1,e2)
<e1>abwdno</e1> are carried into the <e2>mdripw</e2>.		Entity-Destination(e1,e2)
<e1>gytxmx</e1> <e2>fwqmhg</e2> causes more of these drugs to enter the blood.		Entity-Origin(e2,e1)
A <e1>hwzkuw</e1> was discovered inside a <e2>nawrtw</e2> in the Yale University building at 10 Amistad Street.	the body was inside the wall, (2) is satisfied.	Content-Container(e1,e2)
38% of the world's generated electrical <e1>rmzoaz</e1> is gained from <e2>qrkkam</e2>.		Entity-Origin(e1,e2)
<e1>dlfnij</e1> <e2>lvvqxu</e2> used in our handmade soy candles is renewable with each growing season, and is just one of the many uses of soybeans.		Entity-Origin(e2,e1)
<e1>ddkxnp</e1> were made about Galloway's personal and financial <e2>hzhrlc</e2>.		Message-Topic(e1,e2)
A <e1>prqjfz</e1> of <e2>zayxzv</e2> nested in my pear grove.		Member-Collection(e2,e1)
<e1>fxegvu</e1> are the parts of the <e2>wyjvmc</e2> that allow us to move in positions such as sit, stand, walk, run, bend, and reach.		Component-Whole(e1,e2)
<e1>bzuxta</e1> are blown into the <e2>xelkmv</e2>.		Entity-Destination(e1,e2)
